"","State","ST","avg.salary_19","avg.salary_20","avg.salary_21","avg.salary_22","avg.salary_23","avg.salary_24","prop_nonwhite"
"29","NV",32,23077.1487997227,27192.095959596,36336.2473130706,46184.1430371771,78391.6965226554,61331.7025440313,0.270285879295409
"30","NH",33,21389.8464450989,32802.7380537147,41849.499767694,50941.8728984533,85419.0635451505,71440.7925407925,0.0500521376433785
"31","NJ",34,25837.9296366006,34121.40348076,52930.4132212784,68096.7195904013,106703.199505868,89929.4086589229,0.269062016913704
"32","NM",35,17234.8398576512,25519.2092877314,32408.6221399731,40297.3240291262,63499.5210449927,62015.9762532982,0.316132545909424
"33","NY",36,20787.5500436681,30198.6082387558,46173.389786262,55641.7803867403,99805.797998016,72240.8814102564,0.284832140250359
"34","NC",37,17999.8945640474,26007.8354845767,38585.8541915294,46197.5973645681,89731.6451902907,64702.2596899225,0.278678431467499
"35","ND",38,20855.0975851803,28429.2327365729,33491.8727534148,43556.7889908257,98671.4285714286,73542.6785714286,0.0910000953379731
"36","OH",39,19285.0544237628,28025.6699524643,39490.4551441163,49439.1942587254,86187.2227722772,66375.9488013003,0.147300431262725
"37","OK",40,18632.0594465323,25094.5973980309,36047.4803149606,37765.4488465396,86087.7119509704,62415.9595959596,0.264536415854497
"38","OR",41,18007.4796284689,25538.4165720772,34475.1933701657,40405.9817845014,72633.0378378378,59932.5591216216,0.128920459920365
"39","PA",42,19547.2323766768,28983.6750831162,40511.1529313491,50620.2025329437,92353.1676887291,75642.4874055416,0.12220658745049
"40","RI",44,19880.3765060241,29707.0274390244,43418.5750907926,49673.9146230699,80926.2737642586,76917.4930362117,0.15464303544683
"41","SC",45,17409.5768298867,26267.2701507766,34594.199456029,39396.617447642,82805.8812010444,56810.9046692607,0.305095523400407
"42","SD",46,17364.534400949,27823.5562987737,31011.1645482652,33461.7775090689,74455.1308900524,57148.0555555556,0.130578974707316
"43","TN",47,18857.3349005268,27456.0934949872,37549.8077557367,45225.3725961538,88478.3102369245,61906.8424479167,0.187873277632342
"44","TX",48,21735.0003492174,29672.0298658718,44399.7226301334,54126.5891650579,92147.4659801398,71352.2841864018,0.228558047111248
"45","UT",49,20407.4272448387,24684.5791805094,35764.2559551611,51026.4979253112,93139.1299303944,71788.8696808511,0.0977238167648736
"46","VT",50,17741.2522202487,27666.9975389664,31695.5011207173,38030.6194690265,67353.8602941177,63408.2926829268,0.039095281956811
"47","VA",51,23149.9457163087,31205.4568397364,47728.3866235636,65123.4082258406,103340.725751752,77967.9007092199,0.274979067820262
"48","WA",53,22067.4316569174,28368.3483344664,41658.6153996165,50518.2271604938,82363.8302752294,64031.6057312253,0.191217286426319
"49","WV",54,17342.9249141175,25707.0888542479,33835.8661334456,40860.8637236084,77453.2710280374,65024.7588424437,0.0621662505239753
"50","WI",55,20441.6887091272,30492.6197005516,37747.8408047661,45669.8340813273,91970.95350206,63608.9023255814,0.0852463112938584
"51","WY",56,23659.7069306931,30188.1869009585,34479.034034034,41185.288590604,64604.3949044586,48044.3548387097,0.0920976512784913
